Animal ID,Pub #,"Sex (0=f, 1=m)","Treatment Group (0=UIC, 1=PIC, 2=Zika)","Index of Preference (Scale, -1 to 1)",Scream (Freq),Attention Seeking Behaviors (Freq),Affiliative Behaviors (Freq),Fearful Behaviors (Freq),Hostile Defensive Behaviors (Freq),Anxious Behaviors (Freq),"Self-Directed Behaviors (Dur, sec)",Displacement Behaviors (Freq),Falls (Freq)
a,1,1,2,0.814767518,84,13,39,0,70,0,0,0,1
b,2,1,2,0.61489352,0,53,1,0,0,0,0,0,0
c,3,0,2,0.932867049,181,1,138,0,89,0,1.33,1,2
d,4,0,2,0.525681355,80,0,237,0,26,3,0,3,3
e,5,0,2,1,90,232,284,0,26,4,1.57,5,0
f,6,0,2,0.895737901,140,12,59,0,22,1,0,1,2
g,7,1,2,0.288453381,13,2,235,0,48,0,0,0,1
h,8,1,2,0.641807274,6,8,111,0,35,0,281.48,25,0
i,9,1,2,1,54,141,176,16,90,4,1.79,5,1
j,10,0,2,0.680517119,182,0,123,0,109,0,0,0,0
k,11,0,2,1,80,25,282,0,22,1,0,1,0
l,12,1,2,-0.344331371,84,1,111,0,83,0,0,0,1
m,13,1,0,0.141899468,99,0,52,0,151,5,0,5,1
n,14,1,0,0.635234809,110,25,92,10,25,0,2.7,1,5
o,15,1,0,1,52,596,265,0,18,0,124.8,21,0
p,16,0,0,-0.258252672,84,0,115,0,51,0,0,0,1
q,17,0,0,1,207,4,223,0,201,0,0,0,1
r,18,0,0,0.650429605,285,0,86,0,126,1,2.8,2,3
s,19,1,1,0.834436131,152,39,170,5,47,0,0,0,1
t,20,0,1,1,277,7,112,0,196,0,3.34,1,0
u,21,0,1,1,68,35,180,1,270,3,4.57,6,2
v,22,0,1,1,14,380,167,0,0,0,54.39,13,0
w,23,1,1,0.948845287,386,6,261,0,59,0,17.22,1,2
x,24,1,1,1,84,60,141,0,14,1,0,1,0
