Animal ID,Pub #,"Sex (0=f, 1=m)","Treatment Group (0=UIC, 1=PIC, 2=Zika)","Condition (0=alone, 1=profile, 2=stare)",Affiliative Vocals (Freq),Screams (Freq),Threat Barks (Freq),Anxious Behavior (Freq),"Self-Directed Behavior (Dur, sec)",Displace-ment Behavior (Freq),Fearful Behavior (Freq),All Hostile Behavior (Freq),Threats Toward Intruder (Freq),Threats Away From Intruder (Freq),"Freezing (Dur, sec)"
a,1,1,2,0,0,223,64,0,27,6,0,3,0,0,0
a,1,1,2,1,6,19,0,1,28.96,7,0,4,3,0,128.34
a,1,1,2,2,58,0,21,82,3.31,83,0,3,3,0,0
b,2,1,2,0,62,243,39,0,0,0,0,2,0,0,0
b,2,1,2,1,77,91,13,6,0.51,7,10,26,24,0,118.49
b,2,1,2,2,83,295,8,12,1.06,13,75,34,31,0,11.98
c,3,0,2,0,60,242,89,0,0,0,0,9,0,0,0
c,3,0,2,1,126,188,70,0,4.74,2,0,25,14,0,4.54
c,3,0,2,2,105,175,50,0,13.45,3,0,65,52,0,0
d,4,0,2,0,7,304,53,1,0,1,0,2,0,0,0
d,4,0,2,1,19,252,6,5,0,5,0,7,2,0,0
d,4,0,2,2,42,221,24,24,4.9,25,0,53,48,0,0
e,5,0,2,0,125,137,15,0,0,0,0,3,0,0,0
e,5,0,2,1,0,0,0,0,0,0,0,2,0,0,244.49
e,5,0,2,2,0,0,0,0,0,0,0,0,0,0,422.58
f,6,0,2,0,0,248,25,0,0,0,0,1,0,0,0
f,6,0,2,1,1,79,0,1,16.04,6,0,12,10,0,5.11
f,6,0,2,2,38,2,2,57,19.63,66,0,103,85,0,0
g,7,1,2,0,206,41,9,0,0,0,0,0,0,0,0
g,7,1,2,1,177,0,6,10,0,10,0,5,2,0,0
g,7,1,2,2,138,0,29,22,3.44,23,0,13,11,0,0
h,8,1,2,0,14,235,27,1,0,1,0,2,0,1,0
h,8,1,2,1,90,149,13,0,0,0,0,2,2,0,0
h,8,1,2,2,153,53,10,0,0,0,0,0,0,0,0
i,9,1,2,0,84,260,16,0,215.05,22,0,13,0,13,0
i,9,1,2,1,77,19,52,2,135.34,33,0,55,53,1,140.66
i,9,1,2,2,65,18,117,36,22.69,47,0,131,116,12,0
j,10,0,2,0,96,223,26,0,0,0,0,0,0,0,0
j,10,0,2,1,105,210,28,0,8.71,1,0,7,0,0,0
j,10,0,2,2,95,213,43,0,2.34,2,0,3,2,0,0
k,11,0,2,0,0,339,11,0,0,0,1,29,0,29,0
k,11,0,2,1,8,24,0,0,0,0,0,5,2,3,246.95
k,11,0,2,2,23,263,44,49,0,49,76,46,31,7,0
l,12,1,2,0,55,66,32,0,45.17,16,0,7,0,0,0
l,12,1,2,1,62,40,47,1,5.71,5,0,4,1,0,4.97
l,12,1,2,2,103,39,114,15,14.45,21,0,15,14,0,0
m,13,1,0,0,2,207,77,0,0,0,0,0,0,0,0
m,13,1,0,1,0,0,1,0,35.03,2,0,2,1,0,201.05
m,13,1,0,2,46,145,68,55,0,55,0,38,26,0,6.77
n,14,1,0,0,2,74,2,0,0,0,0,0,0,0,0
n,14,1,0,1,14,5,10,7,9.98,9,0,1,1,0,263.86
n,14,1,0,2,34,73,38,58,3.37,62,70,3,3,0,28.96
o,15,1,0,0,7,315,107,0,78.88,10,0,0,0,0,0
o,15,1,0,1,90,242,197,0,18.59,7,0,5,5,0,17.94
o,15,1,0,2,119,127,214,14,18.5,18,0,10,10,0,0
p,16,0,0,0,35,127,39,0,0,0,0,0,0,0,0
p,16,0,0,1,13,159,81,0,46.35,11,0,4,1,0,25.62
p,16,0,0,2,25,137,61,5,30.76,12,0,17,16,0,0
q,17,0,0,0,33,256,150,0,6.67,3,0,0,0,0,0
q,17,0,0,1,58,273,138,5,22.4,11,6,2,0,0,7.84
q,17,0,0,2,93,292,149,16,8.32,18,11,1,0,0,15.52
r,18,0,0,0,1,282,24,2,55.71,12,0,0,0,0,0
r,18,0,0,1,21,265,31,1,45.34,11,0,0,0,0,4.87
r,18,0,0,2,12,419,24,21,14.81,27,1,6,4,0,0
s,19,1,1,0,14,242,16,1,0,1,0,0,0,0,0
s,19,1,1,1,118,107,6,0,0,0,1,5,5,0,51.65
s,19,1,1,2,11,190,3,3,0,3,0,5,4,1,0
t,20,0,1,0,10,165,36,0,0,0,0,0,0,0,0
t,20,0,1,1,5,322,44,0,3.4,1,0,1,1,0,22.13
t,20,0,1,2,0,327,136,12,11.28,15,0,31,31,0,0
u,21,0,1,0,17,312,185,0,9.41,2,0,0,0,0,0
u,21,0,1,1,16,334,51,45,12.37,49,1,4,3,0,19.85
u,21,0,1,2,52,114,166,55,11.6,60,4,82,82,0,0
v,22,0,1,0,52,193,34,0,30.83,5,0,0,0,0,0
v,22,0,1,1,82,97,15,0,94.96,12,0,0,0,0,79.9
v,22,0,1,2,87,75,239,26,10.24,27,0,117,113,0,0
w,23,1,1,0,110,192,54,0,0,0,0,0,0,0,0
w,23,1,1,1,107,31,44,0,0,0,0,0,0,0,102.44
w,23,1,1,2,293,44,33,61,36.64,67,0,34,34,0,0
x,24,1,1,0,65,121,22,0,0,0,0,0,0,0,0
x,24,1,1,1,62,96,4,30,0,30,20,6,6,0,54.51
x,24,1,1,2,7,95,13,32,29.8,41,1,36,34,0,0
