,,,,,,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
Animal ID,Publication,Group (Normal uninfected control; ZIKV-infected),Sex (Female = 0; Male = 1),# of animals of that Sex,"Rearing (nursery, mother)",Hippocampus (mm3),Hippocampus (mm3),Amygdala (mm3),Amygdala (mm3),ICV (mm3),ICV (mm3),TBV (mm3),TBV (mm3),CSF (mm3),CSF (mm3),Lateral Ventricle (mm3),Lateral Ventricle (mm3),RT Temporal Auditory (mm3),RT Temporal Auditory (mm3),RT Temporal Visual (mm3),RT Temporal Visual (mm3),RT Temporal Limbic (mm3),RT Temporal Limbic (mm3),RT Occipital (mm3),RT Occipital (mm3),LT Temporal Auditory (mm3),LT Temporal Auditory (mm3),LT Temporal Visual (mm3),LT Temporal Visual (mm3),LT Temporal Limbic (mm3),LT Temporal Limbic (mm3),LT Occipital (mm3),LT Occipital (mm3)
,"Payne, et al, 2010, Hippocampus",Normal,1,,nursery,480,,375,,,,62000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,1,,nursery,510,,325,,,,69000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,0,,nursery,560,,255,,,,69000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,0,,nursery,510,,260,,,,66000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,0,,nursery,500,,310,,,,65000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,0,,nursery,490,,290,,,,65000,,,,,,,,,,,,,,,,,,,,,
,"Payne, et al, 2010, Hippocampus",Normal,0,,nursery,460,,350,,,,59000,,,,,,,,,,,,,,,,,,,,,
,"Hunsaker, et al, 2014, Hippocampus",Normal,1,12,mother,615.6,25.02,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hunsaker, et al, 2014, Hippocampus",Normal,0,12,mother,579.86,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mauvinger, et al, 2018, Sci Trans Med",Normal,0,,nursery,579.197,,393.699,,72518.0422,,66084.6922,,6433.35,,151.0627,,2058.684,,3941.038,,901.492,,6186.57,,2135.114,,4003.081,,864.585,,6123.54,
,"Mauvinger, et al, 2018, Sci Trans Med",Normal,0,,nursery,622.092,,469.925,,81478.914,,73901.574,,7577.34,,177.2004,,2310.574,,4327.14,,1001.302,,6609.94,,2367.205,,4426.19,,944.367,,6433.54,
RAg16,ACE data from Sanchez lab,Normal,1,,mother,404.837,,371.219,,91686.733,,78864.83,,12584.6,,243.147,,2831.735,,4791.03,,984.156,,7206.34,,2854.909,,4913.79,,922.133,,7147.79,
RDm16,ACE data from Sanchez lab,Normal,1,,mother,488.951,,377.249,,91941.753,,80681.11,,11089.9,,170.5178,,2577.362,,4611.45,,1173.027,,7691.75,,2686.266,,4825.73,,1020.246,,7794.67,
RIn16,ACE data from Sanchez lab,Normal,1,,mother,419.264,,346.697,,81222.189,,70605.92,,10404.9,,171.3966,,2138.766,,4007.193,,956.69,,6292.36,,2201.733,,4021.68,,903.434,,6229.7,
RJr16,ACE data from Sanchez lab,Normal,1,,mother,447.344,,394.027,,94006.859,,81029.78,,12739,,257.534,,2557.687,,4864.149,,1039.006,,8271.28,,2666.278,,4920.81,,997.725,,8153.85,
RLj16,ACE data from Sanchez lab,Normal,1,,mother,478.12,,361.983,,88430.484,,75855.09,,12359.1,,134.4688,,2628.595,,4381.51,,1070.559,,7074.46,,2684.882,,4482,,965.477,,6954.1,
RNq16,ACE data from Sanchez lab,Normal,1,,mother,442.766,,394.537,,89758.133,,78114.13,,11432,,163.9375,,2638.038,,4499.244,,1067.146,,7116.18,,2728.065,,4472.62,,1026.642,,7106.45,
RCc17,ACE data from Sanchez lab,Normal,1,,mother,420.43,,346.635,,76699.97,,65636.74,,10888.4,,151.635,,2138.665,,3949.849,,971.813,,6118.02,,2205.491,,3960.001,,907.133,,5975.11,
RMh17,ACE data from Sanchez lab,Normal,1,,mother,476.383,,405.164,,98889.254,,85603.03,,13097.6,,286.819,,2738.601,,5263.09,,1185.289,,8037.47,,2915.783,,5010.15,,1101.459,,7903.31,
RMj17,ACE data from Sanchez lab,Normal,1,,mother,459.503,,402.282,,93060.3,,81957.18,,10892.2,,238.529,,2701.497,,4542.526,,1107.099,,7674.25,,2781.706,,4498.064,,1037.8,,7588.19,
ROa17,ACE data from Sanchez lab,Normal,1,,mother,431.812,,356.138,,92412.867,,80727.18,,11488.5,,236.792,,2672.946,,4855.83,,1088.87,,7646.78,,2778.787,,4735.4,,1025.437,,7697.89,
RSc17,ACE data from Sanchez lab,Normal,1,,mother,423.495,,330.695,,84257.283,,70862.1,,13139.1,,126.0287,,2307.914,,4268.53,,984.81,,6540.54,,2360.111,,4266.3,,924.462,,6367.87,
RZi17,ACE data from Sanchez lab,Normal,1,,mother,401.138,,373.672,,85669.212,,74833.36,,10668.4,,267.794,,2546.258,,4375.8,,975.676,,6972.18,,2605.18,,4437.84,,906.009,,6790.78,
RDp17,ACE data from Sanchez lab,Normal,1,,mother,382.193,,408.004,,88988.458,,76583.35,,12168.5,,226.43,,2571.888,,4678.45,,1039.537,,7382.15,,2709.465,,4621.6,,974.94,,7340.7,
RDv17,ACE data from Sanchez lab,Normal,1,,mother,486.213,,411.683,,91602.442,,78100.28,,13247.1,,229.046,,2502.73,,4665.9,,1099.885,,7994.27,,2526.872,,4732.87,,1027.338,,7987.9,
RFg18,ACE data from Sanchez lab,Normal,1,,mother,527.514,,409.721,,91969.207,,80016.2,,11727.7,,196.0624,,2480.784,,4683.397,,1123.386,,7279.52,,2563.672,,4636.579,,1048.325,,7412.88,
RHu17,ACE data from Sanchez lab,Normal,1,,mother,396.765,,347.882,,86526.388,,74882.24,,11409.4,,327.282,,2305.324,,4400.932,,985.505,,7199.58,,2400.655,,4274.76,,914.796,,7309.06,
RMf18,ACE data from Sanchez lab,Normal,1,,mother,384.605,,395.395,,85731.083,,73914.21,,11617.5,,188.338,,2471.449,,4449.2,,1023.475,,6627.27,,2563.045,,4476.15,,923.993,,6487.9,
RNe18,ACE data from Sanchez lab,Normal,1,,mother,392.248,,357.507,,82551.01,,70515.81,,11817.7,,177.5274,,2290.952,,4267.524,,944.204,,5882.27,,2324.754,,4298.665,,888.25,,5821.29,
RNg18,ACE data from Sanchez lab,Normal,1,,mother,586.717,,474.38,,98330.234,,87551.58,,10623.3,,320.313,,2822.679,,5704.03,,1265.534,,8145.23,,2900.007,,5740.41,,1189.682,,7955.75,
RNt17,ACE data from Sanchez lab,Normal,1,,mother,373.508,,316.779,,83844.069,,72108.53,,11537.8,,166.2263,,2382.776,,4245.612,,962.045,,6510.94,,2533.997,,4246.352,,924.871,,6525.15,
RUq17,ACE data from Sanchez lab,Normal,1,,mother,422.187,,360.021,,84745.318,,71697.24,,12811,,136.0015,,2339.186,,4331.59,,1021.309,,6427.43,,2453.69,,4330.82,,929.02,,6595.69,
