Animal ID,Pub #,"Sex (0=f, 1=m)","Treatment Group (0=UIC, 1=PIC, 2=Zika)",Age (months),"Contrast (1=low, 2=medium, 3=high)","Left or Right Acuity (0=left, 1=right)",Acuity #,Best % Looking @ acuity
a,1,1,2,4,1,0,1,99.86
a,1,1,2,4,1,1,1,100
a,1,1,2,4,2,0,3,99.28
a,1,1,2,4,2,1,3,72.29
a,1,1,2,4,3,0,6,
a,1,1,2,4,3,1,6,
a,1,1,2,6,1,0,2,84.58
a,1,1,2,6,1,1,2,99.53
a,1,1,2,6,2,0,4,78.77
a,1,1,2,6,2,1,4,78.75
a,1,1,2,6,3,0,5,91.4
a,1,1,2,6,3,1,5,100
b,2,1,2,4,1,0,1,100
b,2,1,2,4,1,1,1,100
b,2,1,2,4,2,0,3,88.8
b,2,1,2,4,2,1,3,81.24
b,2,1,2,4,3,0,6,100
b,2,1,2,4,3,1,6,100
b,2,1,2,6,1,0,2,75.69
b,2,1,2,6,1,1,2,95.02
b,2,1,2,6,2,0,4,96.99
b,2,1,2,6,2,1,4,85.95
b,2,1,2,6,3,0,5,57.29
b,2,1,2,6,3,1,5,99.88
c,3,0,2,4,1,0,1,76.07
c,3,0,2,4,1,1,1,93.94
c,3,0,2,4,2,0,3,76.71
c,3,0,2,4,2,1,3,76.19
c,3,0,2,4,3,0,6,89.14
c,3,0,2,4,3,1,6,31.5
c,3,0,2,6,1,0,2,83.23
c,3,0,2,6,1,1,2,92.99
c,3,0,2,6,2,0,4,95.34
c,3,0,2,6,2,1,4,88.49
c,3,0,2,6,3,0,5,59.67
c,3,0,2,6,3,1,5,89.04
d,4,0,2,4,1,0,1,72.63
d,4,0,2,4,1,1,1,100
d,4,0,2,4,2,0,3,94.28
d,4,0,2,4,2,1,3,100
d,4,0,2,4,3,0,6,0.5
d,4,0,2,4,3,1,6,
d,4,0,2,6,1,0,2,100
d,4,0,2,6,1,1,2,96.3
d,4,0,2,6,2,0,4,92.49
d,4,0,2,6,2,1,4,100
d,4,0,2,6,3,0,5,53.84
d,4,0,2,6,3,1,5,99.83
e,5,0,2,4,1,0,1,76.63
e,5,0,2,4,1,1,1,46.76
e,5,0,2,4,2,0,3,80.21
e,5,0,2,4,2,1,3,69.29
e,5,0,2,4,3,0,6,
e,5,0,2,4,3,1,6,88.95
e,5,0,2,6,1,0,2,95.25
e,5,0,2,6,1,1,2,76.94
e,5,0,2,6,2,0,4,78.01
e,5,0,2,6,2,1,4,80.4
e,5,0,2,6,3,0,5,99.68
e,5,0,2,6,3,1,5,57.97
f,6,0,2,4,1,0,1,99.91
f,6,0,2,4,1,1,1,100
f,6,0,2,4,2,0,3,94.11
f,6,0,2,4,2,1,3,94.34
f,6,0,2,4,3,0,6,92.58
f,6,0,2,4,3,1,6,100
f,6,0,2,6,1,0,2,73.81
f,6,0,2,6,1,1,2,100
f,6,0,2,6,2,0,4,96.38
f,6,0,2,6,2,1,4,100
f,6,0,2,6,3,0,5,75.09
f,6,0,2,6,3,1,5,86.56
g,7,1,2,4,1,0,1,71.82
g,7,1,2,4,1,1,1,69.58
g,7,1,2,4,2,0,3,99.15
g,7,1,2,4,2,1,3,56.28
g,7,1,2,4,3,0,6,77.26
g,7,1,2,4,3,1,6,76.48
g,7,1,2,6,1,0,2,100
g,7,1,2,6,1,1,2,
g,7,1,2,6,2,0,4,19.36
g,7,1,2,6,2,1,4,100
g,7,1,2,6,3,0,5,97.32
g,7,1,2,6,3,1,5,100
h,8,1,2,4,1,0,1,100
h,8,1,2,4,1,1,1,50.02
h,8,1,2,4,2,0,3,100
h,8,1,2,4,2,1,3,82.55
h,8,1,2,4,3,0,6,92.38
h,8,1,2,4,3,1,6,41.45
h,8,1,2,6,1,0,2,99.32
h,8,1,2,6,1,1,2,99.42
h,8,1,2,6,2,0,4,93.27
h,8,1,2,6,2,1,4,47.3
h,8,1,2,6,3,0,5,97.32
h,8,1,2,6,3,1,5,76.31
i,9,1,2,4,1,0,1,100
i,9,1,2,4,1,1,1,89.49
i,9,1,2,4,2,0,3,100
i,9,1,2,4,2,1,3,89.36
i,9,1,2,4,3,0,6,77.54
i,9,1,2,4,3,1,6,99.16
i,9,1,2,6,1,0,2,91.15
i,9,1,2,6,1,1,2,100
i,9,1,2,6,2,0,4,90.07
i,9,1,2,6,2,1,4,86.51
i,9,1,2,6,3,0,5,83.77
i,9,1,2,6,3,1,5,100
j,10,0,2,4,1,0,1,76.29
j,10,0,2,4,1,1,1,30.04
j,10,0,2,4,2,0,3,74.73
